run_id,suite,method,image,mask,seed,K,sparsity,n_train,dict_iters,als_iters,crown_T,K_s,mask_mode,missing_frac_target,square_size,scratch_count,scratch_thickness,status,full_psnr,full_ssim,full_mse,full_mae,hole_psnr,hole_mse,hole_mae,boundary_mae,missing_frac_actual,runtime_sec,train_rmse_final,observed_max_abs_err,train_rmse_initial,train_rmse_L3_final,train_rmse_L2_final,train_rmse_L1_final,crown_iters_completed,avg_outer_time_sec,error
paper__biharmonic__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,biharmonic,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,41.587006545730496,0.9935639676447003,6.939039272133345e-05,0.0017545887340193246,31.462237786789636,0.0007141282627803561,0.018057275011414957,0.0017870932374843102,0.09716796875,0.007508993148803711,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,zero_ksvd,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,19.736017344308728,0.5228862957275991,0.010626696214372375,0.03037149702215119,9.611248585367864,0.10936419018610365,0.3125669643284706,0.030934141937767324,0.09716796875,10.168278217315674,0.05556271568559912,0.0,0.07151204405784425,,,,,,
paper__masked_ksvd__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,masked_ksvd,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,43.42176837296868,0.9970319412523179,4.548028344944111e-05,0.0008842962429526031,33.296999614027804,0.00046805839449475076,0.009100697012899154,0.0009006782074185908,0.09716796875,10.397093772888184,0.014270033704470749,0.0,0.018275878740269265,,,,,,
paper__multiscale_ksvd__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,multiscale_ksvd,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,40.925054395170804,0.9935418575187572,8.081548069498365e-05,0.0018409002422308022,30.80028563622994,0.0008317090676549069,0.018945546211500918,0.001875003703139964,0.09716796875,16.693610906600952,0.014270033704470749,0.0,,0.00839874833237084,0.015550903372702584,0.014270033704470749,,,
paper__crown_full__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,crown_full,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,43.1604468597967,0.9956305530744592,4.830091010967021e-05,0.0014468730089941277,33.03567810085584,0.0004970867532894703,0.014890431770954641,0.0014736769476165479,0.09716796875,34.76730012893677,0.014270033704470749,0.0,0.018275878740269265,,,,3,8.87229299545288,
paper__crown_no_nonlocal__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,crown_no_nonlocal,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,43.155512544241645,0.9956257503637578,4.835581925217141e-05,0.0014484129019546182,33.03074378530078,0.000497651848384156,0.014906279513583207,0.0014752453677498736,0.09716796875,15.682910919189453,0.014270033704470749,0.0,0.018275878740269265,,,,3,2.704458554585775,
paper__crown_sparse_only__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T3__Ks10,paper,crown_sparse_only,brick,random_p10,42,192,6,2000,20,10,3,10,random,0.1,20,3,4,completed,46.91479539386387,0.9985601136489499,2.0347940574283627e-05,0.0008323308414467259,36.79002663492301,0.0002094099612870998,0.008565897302929119,0.0008477501247210716,0.09716796875,34.70574903488159,0.014270033704470749,0.0,0.018275878740269265,,,,3,9.028857072194418,
paper__biharmonic__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T5__Ks10,paper,biharmonic,brick,random_p10,42,192,6,2000,20,10,5,10,random,0.1,20,3,4,completed,41.587006545730496,0.9935639676447003,6.939039272133345e-05,0.0017545887340193246,31.462237786789636,0.0007141282627803561,0.018057275011414957,0.0017870932374843102,0.09716796875,0.008101224899291992,,0.0,,,,,,,
paper__zero_ksvd__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T5__Ks10,paper,zero_ksvd,brick,random_p10,42,192,6,2000,20,10,5,10,random,0.1,20,3,4,completed,19.736017344308728,0.5228862957275991,0.010626696214372375,0.03037149702215119,9.611248585367864,0.10936419018610365,0.3125669643284706,0.030934141937767324,0.09716796875,10.174416065216064,0.05556271568559912,0.0,0.07151204405784425,,,,,,
paper__masked_ksvd__brick__random_p10__seed42__K192__s6__nt2000__di20__als10__T5__Ks10,paper,masked_ksvd,brick,random_p10,42,192,6,2000,20,10,5,10,random,0.1,20,3,4,completed,43.42176837296868,0.9970319412523179,4.548028344944111e-05,0.0008842962429526031,33.296999614027804,0.00046805839449475076,0.009100697012899154,0.0009006782074185908,0.09716796875,10.06829833984375,0.014270033704470749,0.0,0.018275878740269265,,,,,,
